date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:22	191975/191975	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d29-2ede7%22	https://htmldemo.net/zakas/zakas/shop-three-columns.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/shop-three-columns.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:23	192083/192083	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d1a-2ee53%22	https://htmldemo.net/zakas/zakas/shop-four-columns.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/shop-four-columns.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:24	1135639/1135639	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d25-115417%22	https://htmldemo.net/zakas/zakas/shop-list.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/shop-list.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:24	200703/200703	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d21-30fff%22	https://htmldemo.net/zakas/zakas/shop-list-sidebar.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/shop-list-sidebar.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:24	99244/99244	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d18-183ac%22	https://htmldemo.net/zakas/zakas/product-details.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:24	200681/200681	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d20-30fe9%22	https://htmldemo.net/zakas/zakas/shop-list-right-sidebar.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/shop-list-right-sidebar.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:25	99259/99259	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d14-183bb%22	https://htmldemo.net/zakas/zakas/product-details-tab-style-2.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-tab-style-2.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:26	98859/98859	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d15-1822b%22	https://htmldemo.net/zakas/zakas/product-details-tab-style-3.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-tab-style-3.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:26	94112/94112	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d09-16fa0%22	https://htmldemo.net/zakas/zakas/product-details-gallery-left.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-gallery-left.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:26	94134/94134	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d0a-16fb6%22	https://htmldemo.net/zakas/zakas/product-details-gallery-right.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-gallery-right.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:27	94130/94130	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d0f-16fb2%22	https://htmldemo.net/zakas/zakas/product-details-sticky-left.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-sticky-left.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:28	93631/93631	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d0d-16dbf%22	https://htmldemo.net/zakas/zakas/product-details-slider-box.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-slider-box.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:28	94152/94152	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d12-16fc8%22	https://htmldemo.net/zakas/zakas/product-details-sticky-right.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-sticky-right.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:28	96389/96389	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d08-17885%22	https://htmldemo.net/zakas/zakas/product-details-affiliate.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-affiliate.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:28	93768/93768	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d0e-16e48%22	https://htmldemo.net/zakas/zakas/product-details-slider-full-width.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-slider-full-width.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:29	101388/101388	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d18-18c0c%22	https://htmldemo.net/zakas/zakas/product-details-variable.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-variable.html	(from https://htmldemo.net/zakas/zakas/index.html)
14:54:29	100491/100491	---MCZ	200	added ('OK')	text/html	etag:W/%2263b56d0c-1888b%22	https://htmldemo.net/zakas/zakas/product-details-group.html	C:/Users/DELL/Desktop/FashionTemp/htmldemo.net/zakas/zakas/product-details-group.html	(from https://htmldemo.net/zakas/zakas/index.html)
